Modelo,Arquitectura,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Red Simple (1 capa),"(32,)",0.9942513003011224,0.9944029850746269,0.9957963568425969,0.9950991831971996,0.9999045469036127
Red Media (2 capas),"(64, 32)",0.9931563098822885,0.9902687673772012,0.9981317141522653,0.9941846941149104,0.9998903370575486
Red Profunda (3 capas),"(64, 32, 16)",0.9920613194634547,0.9902506963788301,0.9962634283045306,0.9932479627473807,0.9998372045896566
Red Muy Profunda (4 capas),"(128, 64, 32, 16)",0.9885026006022447,0.9948137670909948,0.985520784680056,0.990145471609573,0.9997315574732669
